name,piste:difficulty,piste:type,geometry,ski_hill
Larch,intermediate,downhill,"LINESTRING (-116.106868 51.438223, -116.106876 51.438902, -116.106888 51.439069, -116.106903 51.439188, -116.106979 51.439485, -116.107108 51.440127, -116.107555 51.440775, -116.108224 51.44109, -116.108834 51.441738, -116.109271 51.442037)",lakelouise
Pika,easy,downhill,"LINESTRING (-116.117715 51.459968, -116.117374 51.459785, -116.117073 51.459624, -116.11691 51.459507)",lakelouise
,advanced,downhill,"LINESTRING (-116.125253 51.454062, -116.125553 51.454035, -116.125872 51.453821, -116.125974 51.453681, -116.126039 51.453524, -116.126145 51.453422, -116.126325 51.453342, -116.126497 51.453322, -116.127184 51.453396, -116.127356 51.45342)",lakelouise
Deer Run,easy,downhill,"LINESTRING (-116.127356 51.45342, -116.128179 51.453579, -116.128632 51.453626, -116.129003 51.453648, -116.129373 51.4535, -116.129764 51.453288, -116.130076 51.453071, -116.130387 51.452869, -116.130651 51.452633, -116.130768 51.452449, -116.130979 51.452046, -116.13113 51.451817, -116.131262 51.451723, -116.131518 51.451655, -116.131649 51.451642, -116.131816 51.451658, -116.13209 51.451724, -116.132155 51.451757, -116.132377 51.451869, -116.132628 51.451998, -116.132898 51.452204, -116.133659 51.452612, -116.133822 51.452688, -116.134724 51.452936, -116.135413 51.453194, -116.135825 51.453131, -116.136081 51.45307, -116.136496 51.45289, -116.137038 51.452656, -116.137762 51.452384, -116.138715 51.452139, -116.139425 51.451954, -116.139742 51.451836, -116.140085 51.45167, -116.140489 51.451429, -116.140929 51.45103, -116.140991 51.450974)",lakelouise
Helen's,advanced,downhill,"LINESTRING (-116.135373 51.462498, -116.136172 51.46268, -116.136703 51.462842, -116.13733 51.463033, -116.137674 51.463193, -116.138171 51.463177, -116.138316 51.463121, -116.138446 51.46307, -116.138549 51.46291, -116.138875 51.462038, -116.139294 51.460976, -116.139377 51.460541, -116.139452 51.459975)",lakelouise
Men's Downhill,advanced,downhill,"LINESTRING (-116.144583 51.453808, -116.144703 51.45361, -116.14496 51.453407, -116.145372 51.453006, -116.145716 51.452283, -116.145878 51.452128, -116.146248 51.451829, -116.146419 51.451755, -116.146875 51.451618, -116.147196 51.451474, -116.147411 51.451267, -116.147808 51.450775, -116.147969 51.450672, -116.148516 51.450508, -116.148972 51.450387, -116.14931 51.450257, -116.149564 51.450082, -116.150017 51.449635, -116.150207 51.449501, -116.150522 51.449324, -116.151682 51.448913)",lakelouise
,easy,downhill,"LINESTRING (-116.125553 51.454035, -116.126108 51.454113, -116.126663 51.454172, -116.127073 51.454166, -116.12739 51.45412, -116.127916 51.454033, -116.128278 51.453917, -116.129003 51.453648)",lakelouise
Raven,advanced,downhill,"LINESTRING (-116.121492 51.45623, -116.120533 51.456145, -116.119821 51.456081, -116.119059 51.456163)",lakelouise
Lynx,advanced,downhill,"LINESTRING (-116.106835 51.442163, -116.106902 51.442679, -116.107002 51.44331, -116.106697 51.443735, -116.106474 51.444121, -116.10644 51.444442)",lakelouise
Boomerang,intermediate,downhill,"LINESTRING (-116.14179 51.467765, -116.140067 51.466456, -116.139878 51.466689, -116.1398 51.467011, -116.140092 51.467345, -116.140773 51.467727, -116.141341 51.468088, -116.141685 51.468366, -116.142088 51.468666, -116.142543 51.469371, -116.142672 51.470013, -116.142457 51.470735, -116.142028 51.471162, -116.141195 51.471483, -116.141024 51.471606, -116.14111 51.471777, -116.141281 51.471927, -116.139908 51.473141, -116.13941 51.473478, -116.138792 51.473713, -116.13838 51.473756, -116.138363 51.473552, -116.138681 51.473371, -116.138895 51.473167, -116.138792 51.473061, -116.138166 51.47298, -116.137779 51.472847, -116.137505 51.472659, -116.137539 51.472419, -116.137762 51.472178, -116.137934 51.471927, -116.138054 51.471724, -116.137779 51.471671, -116.137093 51.471617, -116.135677 51.471564, -116.135205 51.471617, -116.134689 51.471681, -116.134072 51.471537, -116.133419 51.471216, -116.132672 51.470788, -116.131754 51.469788, -116.130724 51.468954, -116.129754 51.468302, -116.128978 51.467848)",lakelouise
Gully,intermediate,downhill,"LINESTRING (-116.139452 51.459975, -116.139428 51.459921, -116.139371 51.459746, -116.13935 51.459516, -116.139407 51.459014, -116.139557 51.458607, -116.139716 51.458161, -116.139711 51.457698, -116.139725 51.45701, -116.139728 51.456896, -116.139813 51.456371, -116.139829 51.456216, -116.139875 51.455777, -116.13999 51.455386, -116.140208 51.454425, -116.14024 51.454149, -116.140257 51.454044, -116.140333 51.453806, -116.14074 51.453261, -116.140883 51.45307, -116.140938 51.452997)",lakelouise
Paradise Bowl,advanced,downhill,"LINESTRING (-116.123861 51.460738, -116.123205 51.460907, -116.122244 51.461308, -116.121592 51.461666, -116.121274 51.461805, -116.121042 51.462019)",lakelouise
Upper Meadowlark,advanced,downhill,"LINESTRING (-116.127356 51.45342, -116.127686 51.453355, -116.127797 51.453238, -116.128441 51.452029, -116.128596 51.451392, -116.128973 51.450521, -116.129214 51.450039, -116.129557 51.449708, -116.129943 51.449494, -116.130432 51.449333, -116.130844 51.449317, -116.131315 51.449374)",lakelouise
Pine Cone Way,easy,downhill,"LINESTRING (-116.142074 51.449394, -116.141643 51.449342, -116.141488 51.449289, -116.141308 51.449185, -116.141102 51.448988, -116.140552 51.448408, -116.140061 51.447896, -116.139817 51.44762, -116.13976 51.447485, -116.139702 51.447198, -116.139589 51.446828, -116.139546 51.446594, -116.139581 51.44641, -116.139723 51.446097, -116.13986 51.445834, -116.139935 51.445587, -116.139967 51.445212, -116.140128 51.444938, -116.140214 51.444571, -116.140286 51.444144, -116.140281 51.443962, -116.140329 51.443716, -116.140388 51.443606, -116.140543 51.443433, -116.140609 51.443384, -116.140934 51.443269, -116.141642 51.442978, -116.141976 51.442929, -116.142289 51.44292, -116.143891 51.443005, -116.1448 51.443101, -116.145578 51.443253, -116.146211 51.443352, -116.146708 51.443449, -116.147024 51.443581, -116.147322 51.443782, -116.147806 51.444204)",lakelouise
Lookout,easy,downhill,"LINESTRING (-116.106903 51.439188, -116.107126 51.439242, -116.107298 51.439135, -116.107653 51.439066, -116.107942 51.438876, -116.10834 51.438447, -116.108439 51.437786, -116.108474 51.437182, -116.108603 51.436727, -116.108706 51.43655, -116.108877 51.436513, -116.109161 51.436513, -116.109718 51.436379, -116.110165 51.436245, -116.110422 51.436154, -116.110645 51.436208, -116.111195 51.436443, -116.111607 51.436796, -116.111694 51.436929, -116.112037 51.436955, -116.112621 51.436784, -116.11341 51.43642, -116.113754 51.436195, -116.114183 51.43611, -116.114543 51.436233, -116.115058 51.436591, -116.1154 51.437192, -116.11547 51.437303, -116.116174 51.437758, -116.116414 51.438143, -116.116328 51.438892, -116.116357 51.440421, -116.116314 51.441277, -116.116107 51.442132, -116.115864 51.44246, -116.116044 51.443361, -116.116087 51.443965, -116.116216 51.444244, -116.116559 51.444431, -116.116791 51.444672, -116.116945 51.445057, -116.116539 51.446164, -116.116494 51.446286, -116.116333 51.446534, -116.116124 51.446744, -116.115963 51.446995, -116.115882 51.447343, -116.115651 51.447547, -116.115538 51.44764, -116.115512 51.447767, -116.115705 51.447944, -116.115952 51.448132)",lakelouise
Wiwaxy,easy,downhill,"LINESTRING (-116.142907 51.450362, -116.142847 51.450292, -116.142313 51.449666, -116.142074 51.449394, -116.141691 51.448939, -116.141417 51.44834, -116.141169 51.447744, -116.141143 51.447551, -116.141155 51.447321, -116.141202 51.446986, -116.141335 51.446602, -116.141417 51.446344, -116.141555 51.446151, -116.141914 51.445836, -116.142378 51.445542, -116.14358 51.444916, -116.144317 51.444567, -116.145021 51.44427, -116.145377 51.444178, -116.145954 51.444062, -116.146514 51.444046, -116.147241 51.444089, -116.147806 51.444204, -116.148261 51.444296, -116.149473 51.444591, -116.150798 51.444552, -116.151742 51.444461, -116.152875 51.444274)",lakelouise
,,downhill,"LINESTRING (-116.110296 51.446057, -116.110929 51.446543, -116.111763 51.447217, -116.112256 51.447378, -116.112398 51.447871, -116.112557 51.448502, -116.11285 51.449296)",lakelouise
Ptarmigan,advanced,downhill,"LINESTRING (-116.123019 51.454785, -116.122661 51.454958, -116.122475 51.455, -116.12217 51.455036, -116.121702 51.455069, -116.120801 51.455069, -116.119685 51.454984, -116.118011 51.454962, -116.116698 51.454716, -116.115668 51.454609, -116.114879 51.454534, -116.113849 51.454214, -116.113231 51.45393, -116.112518 51.453582)",lakelouise
Warden's Run,easy,downhill,"LINESTRING (-116.131021 51.466191, -116.130146 51.466386, -116.129099 51.466462, -116.128026 51.466183, -116.126294 51.46535, -116.125322 51.465116)",lakelouise
Upper Canyon,easy,downhill,"LINESTRING (-115.776904 51.084366, -115.776716 51.084878, -115.776449 51.085185, -115.776338 51.085347, -115.776304 51.085773, -115.776192 51.086388, -115.776012 51.086625, -115.775935 51.086851, -115.77596 51.087056, -115.776081 51.087175, -115.776355 51.087283, -115.776587 51.087374, -115.77687 51.087423, -115.777068 51.087541, -115.77717 51.087644, -115.777162 51.087762, -115.776904 51.088107, -115.776724 51.088329, -115.776621 51.088636, -115.776613 51.088965, -115.776664 51.089105, -115.776646 51.089153, -115.77675 51.089191, -115.776853 51.089267, -115.776896 51.089439, -115.776887 51.089601, -115.776982 51.089795, -115.776904 51.089881, -115.77675 51.089984, -115.776458 51.090054, -115.776321 51.090118, -115.776158 51.090226, -115.775686 51.090663, -115.775411 51.090862, -115.775128 51.091148, -115.774733 51.091428, -115.774614 51.091484, -115.774424 51.091574, -115.774175 51.091719, -115.774055 51.091827, -115.773986 51.091908, -115.7739 51.092151, -115.773875 51.092377, -115.773943 51.092641, -115.774132 51.093121, -115.774175 51.093374)",sunshine
Miss Gratz,easy,downhill,"LINESTRING (-115.77257 51.083686, -115.772544 51.083562, -115.77251 51.083341, -115.772458 51.082991, -115.772639 51.082721, -115.772922 51.082398, -115.773162 51.082188, -115.773566 51.081983, -115.77386 51.081372, -115.77396 51.081163, -115.774185 51.080885, -115.774252 51.080802, -115.774525 51.080676, -115.774968 51.080537, -115.77556 51.080563, -115.776316 51.080807)",sunshine
Larch Glade,easy,downhill,"LINESTRING (-115.773566 51.081983, -115.77378 51.081923, -115.774124 51.081853, -115.774527 51.081821, -115.77475 51.081853, -115.774862 51.081929, -115.775025 51.082225, -115.775377 51.082813, -115.775505 51.083261, -115.775471 51.08367, -115.775574 51.083864, -115.775831 51.084048, -115.776192 51.084253, -115.776535 51.084323, -115.776673 51.084339)",sunshine
Short & Sweet,intermediate,downhill,"LINESTRING (-115.772544 51.083562, -115.772621 51.08339, -115.77281 51.083271, -115.773137 51.08325, -115.773943 51.083282, -115.774493 51.083331, -115.774947 51.083417, -115.775274 51.083546, -115.775471 51.08367)",sunshine
Fireweed,advanced,downhill,"LINESTRING (-115.772544 51.083562, -115.772836 51.083546, -115.773299 51.083692, -115.774235 51.084021, -115.774664 51.084128, -115.77548 51.084431, -115.775806 51.084463, -115.776063 51.084414, -115.776698 51.084377)",sunshine
Jackrabbit,advanced,downhill,"LINESTRING (-115.772587 51.083762, -115.772716 51.083891, -115.773042 51.084085, -115.773548 51.084258, -115.774261 51.084544, -115.774724 51.084738, -115.775205 51.084813, -115.775557 51.084846, -115.775806 51.084792, -115.776029 51.084684)",sunshine
Wildfire,intermediate,downhill,"LINESTRING (-115.757541 51.091288, -115.757859 51.090695, -115.758331 51.090237, -115.758974 51.089644, -115.759961 51.088722, -115.760459 51.088355, -115.76106 51.088129, -115.76185 51.087881, -115.762828 51.08766, -115.763669 51.087563, -115.76415 51.087584, -115.764897 51.087682)",sunshine
Scapegoat,intermediate,downhill,"LINESTRING (-115.758494 51.093024, -115.758932 51.092674, -115.759867 51.092296, -115.761112 51.091817, -115.761867 51.091639, -115.761954 51.09163, -115.762282 51.091598, -115.762631 51.091563, -115.763481 51.091498, -115.764047 51.091417, -115.764347 51.091423, -115.764518 51.091484, -115.764648 51.091531, -115.765231 51.091838, -115.765606 51.092103, -115.765672 51.092149, -115.765712 51.092178, -115.765893 51.092312, -115.765972 51.092368, -115.766296 51.092595, -115.766493 51.092935, -115.766718 51.093287, -115.766977 51.093533, -115.767145 51.093744, -115.76734 51.094007, -115.767513 51.094178, -115.767832 51.094296, -115.768766 51.094404, -115.770037 51.094617, -115.770905 51.094711, -115.771438 51.094852)",sunshine
Rolling Thunder,advanced,downhill,"LINESTRING (-115.759867 51.092296, -115.759918 51.092016, -115.76015 51.091687, -115.760588 51.09124, -115.761002 51.090986, -115.761292 51.090808, -115.762167 51.090517, -115.762717 51.09021, -115.763103 51.08986, -115.76333 51.089773, -115.764021 51.089509, -115.764639 51.089164, -115.765129 51.088949, -115.765626 51.088771, -115.765927 51.088717, -115.766081 51.088727, -115.766244 51.088787)",sunshine
Rolling Thunder,advanced,downhill,"LINESTRING (-115.761292 51.090808, -115.761369 51.090393, -115.761549 51.090129, -115.761738 51.089914, -115.762116 51.089827, -115.76245 51.089784, -115.763103 51.08986)",sunshine
Sky Dive,advanced,downhill,"LINESTRING (-115.757505 51.095961, -115.757819 51.095815, -115.758238 51.095464, -115.758602 51.095067, -115.759472 51.094355)",sunshine
Freefall,expert,downhill,"LINESTRING (-115.760957 51.096043, -115.761489 51.095773, -115.762316 51.095439, -115.762768 51.095256, -115.764081 51.094797, -115.764914 51.094657, -115.765732 51.094552, -115.766124 51.094501, -115.767145 51.094377, -115.767832 51.094296)",sunshine
Wawa Bowl,intermediate,downhill,"LINESTRING (-115.791681 51.081578, -115.791307 51.081633, -115.790586 51.081691, -115.789959 51.081702, -115.788826 51.08167, -115.788286 51.081654, -115.787453 51.081541, -115.786552 51.081287, -115.785968 51.081044, -115.785582 51.080888, -115.784998 51.080618, -115.784689 51.080554, -115.784337 51.080554, -115.784054 51.080629, -115.783642 51.080753, -115.78299 51.080759, -115.782372 51.080667, -115.781968 51.080586, -115.781582 51.080451, -115.781342 51.080327)",sunshine
Meadow Park,easy,downhill,"LINESTRING (-115.791681 51.081578, -115.79123 51.08208, -115.790689 51.082743, -115.79026 51.083083, -115.789557 51.083294, -115.788533 51.083547, -115.78752 51.083919, -115.787015 51.084123, -115.786354 51.08449, -115.784809 51.085541, -115.78444 51.085854, -115.784088 51.086091, -115.783865 51.08621, -115.783591 51.086253, -115.78335 51.08621, -115.783101 51.086016, -115.782887 51.085757, -115.782509 51.085175, -115.782389 51.084797, -115.782475 51.084576, -115.782672 51.08429, -115.782981 51.084032, -115.783307 51.083633, -115.783393 51.083449, -115.783068 51.083104, -115.782955 51.082727, -115.782767 51.082285, -115.782646 51.081718, -115.782312 51.081007, -115.782259 51.080791, -115.782183 51.080484, -115.782071 51.079971)",sunshine
Corral Cut-off,easy,downhill,"LINESTRING (-115.779728 51.082301, -115.78002 51.082155, -115.780466 51.082063, -115.780896 51.081961, -115.781428 51.081891, -115.781943 51.081923, -115.782501 51.082074, -115.782767 51.082285)",sunshine
Banff Avenue,easy,downhill,"LINESTRING (-115.781351 51.07911, -115.781415 51.079205, -115.781436 51.079373, -115.781361 51.079542, -115.781243 51.079609, -115.781147 51.079818, -115.781018 51.080148, -115.780913 51.080279, -115.780372 51.081039, -115.780003 51.081794, -115.779728 51.082301, -115.779333 51.082808, -115.778819 51.083174, -115.778286 51.083449, -115.777754 51.083719, -115.777222 51.084037, -115.776941 51.084165)",sunshine
World Cup Downhill,intermediate,downhill,"LINESTRING (-115.754264 51.073918, -115.754345 51.073934, -115.755282 51.074119, -115.75682 51.074258, -115.759806 51.074369, -115.760249 51.074355, -115.761197 51.074171, -115.763091 51.074161, -115.763696 51.074128, -115.763841 51.07412, -115.764545 51.074142, -115.764948 51.074223, -115.765867 51.074428, -115.766639 51.074746, -115.767248 51.075118, -115.767643 51.075377, -115.767781 51.075674, -115.767944 51.075851, -115.768124 51.075911, -115.768338 51.075932, -115.768467 51.075895, -115.768562 51.075841, -115.768661 51.07566, -115.768733 51.075528, -115.768888 51.075053, -115.768888 51.074137, -115.768888 51.073468, -115.768892 51.073372, -115.768896 51.073268, -115.769051 51.073295, -115.769205 51.073462, -115.769446 51.073694, -115.769738 51.074072, -115.769941 51.074449, -115.770508 51.07458, -115.77118 51.074649, -115.771669 51.074681, -115.772046 51.074703, -115.772441 51.074751, -115.772836 51.074973, -115.773377 51.075274, -115.774072 51.075603, -115.774365 51.075629, -115.77445 51.075636, -115.775188 51.075733, -115.776183 51.076202, -115.777296 51.076637, -115.777754 51.076817, -115.77869 51.077108)",sunshine
Sunshine Coast,intermediate,downhill,"LINESTRING (-115.751602 51.095832, -115.751902 51.096008, -115.752405 51.0963, -115.753257 51.096797, -115.754656 51.097628, -115.75513 51.097896, -115.755866 51.098312, -115.756529 51.098609, -115.756793 51.098727, -115.757437 51.098975, -115.758536 51.099266, -115.75948 51.099471, -115.760184 51.099756, -115.760536 51.099891, -115.760699 51.099924, -115.760827 51.099897, -115.760905 51.09981, -115.761076 51.099142, -115.761332 51.098532, -115.761617 51.097746, -115.761643 51.097406, -115.761505 51.097034, -115.761417 51.096811, -115.76136 51.096669, -115.7613 51.096517, -115.760957 51.096043, -115.760923 51.09594, -115.760733 51.095705, -115.760356 51.095239, -115.760081 51.094955, -115.759627 51.094485, -115.759472 51.094355, -115.759095 51.093962, -115.75876 51.093536, -115.758494 51.093024, -115.758455 51.092956, -115.758305 51.092695, -115.75779 51.091795, -115.757541 51.091288, -115.757441 51.091098, -115.757366 51.090953, -115.757198 51.090631, -115.757106 51.090431, -115.756983 51.090167, -115.756917 51.090024, -115.756889 51.089962, -115.756872 51.089741, -115.75688 51.089677, -115.756923 51.089374, -115.757095 51.089062, -115.757498 51.088792, -115.757902 51.08862, -115.758485 51.088463, -115.758751 51.088253, -115.759189 51.087649, -115.759704 51.087121, -115.76021 51.086894, -115.760631 51.086787, -115.761094 51.086743, -115.761669 51.086824, -115.762923 51.087051, -115.764356 51.08745, -115.764897 51.087682, -115.765 51.087725, -115.765455 51.087973, -115.766244 51.088787, -115.766347 51.088884, -115.766843 51.089648, -115.766974 51.089849, -115.767772 51.090604, -115.768596 51.091515, -115.769051 51.091908, -115.769437 51.092232, -115.769695 51.092506, -115.769875 51.093089, -115.769918 51.093175, -115.770364 51.093789, -115.770871 51.094285, -115.771454 51.09463, -115.772149 51.095202)",sunshine
Kid's Play,easy,downhill,"LINESTRING (-115.771606 51.086933, -115.772056 51.086893, -115.772646 51.086879, -115.772938 51.086985, -115.773054 51.087028, -115.77358 51.087021, -115.774127 51.086826, -115.774578 51.087149, -115.774846 51.087621)",sunshine
